trending_date,views,likes,dislikes,title,key,comments_disabled,processed_features
13,[-0.21806945],[-0.07313665],[-0.02567749],5848,2kyS6SvSYSE,0,22
13,[0.00784395],[0.10013126],[0.08386681],5420,1ZAPwfrtAFY,0,24
13,[0.11234064],[0.31355077],[0.05606736],4360,5qpjK5DgCt4,0,23
13,[-0.27287128],[-0.28003316],[-0.10490764],3964,puqaWrEC7tY,0,24
13,[-0.03584701],[0.25326657],[-0.05933308],2542,d380meD0W0M,0,24
13,[-0.30316439],[-0.28182011],[-0.11024707],128,gHZ1Qz0KiKM,0,28
13,[-0.03480752],[-0.2546009],[-0.04362484],4510,39idVpFF7NQ,0,24
13,[-0.20868917],[-0.22109027],[-0.10104948],222,nc99ccSXST0,0,28
13,[-0.20756299],[-0.30899562],[-0.12375064],5281,jr9QtXwC9vc,0,1
13,[-0.28460265],[-0.26918917],[-0.08089746],6194,TUmyygCMMGA,0,25
13,[-0.30827704],[-0.32161344],[-0.12698874],1457,9wRQljFNDW8,0,17
13,[-0.30513923],[-0.31758954],[-0.11741223],59,VifQlJit6A0,0,24
13,[-0.22629123],[0.17441827],[-0.0819309],3617,5E4ZBSInqUU,0,10
13,[-0.24560574],[-0.29018684],[-0.08751146],6101,GgVmn66oK_A,0,25
13,[-0.29121528],[-0.29182524],[-0.11937576],4564,TaTleo4cOs8,0,15
13,[-0.30903779],[-0.28332306],[-0.12605865],5348,kgaO45SyaO4,0,28
13,[-0.27929931],[-0.28947469],[-0.10587219],4073,ZAQs-ctOqXQ,0,23
13,[-0.30872781],[-0.30089102],[-0.1260242],2442,YVfyYrEmzgM,0,27
13,[-0.30616317],[-0.27220819],[-0.12660982],2265,eNSN6qet1kE,0,28
13,[-0.28900553],[-0.28768337],[-0.12127039],1916,B5HORANmzHw,0,27
13,[-0.30362274],[-0.28259343],[-0.12526635],2323,vU14JY3x81A,0,27
13,[-0.28898551],[-0.30881212],[-0.12309613],5326,6VhU_T463sU,0,28
13,[-0.2997511],[-0.27310384],[-0.12478408],2793,_-aDHxoblr4,0,27
13,[-0.29954782],[-0.3170172],[-0.10793906],5972,JBZTZZAcFTw,0,26
13,[-0.31468721],[-0.30313672],[-0.12605865],5786,lZ68j2J_GOM,0,23
13,[-0.28911291],[-0.28656927],[-0.1212015],4587,dRpNZV18N_g,0,24
13,[-0.30836792],[-0.30399742],[-0.12643758],268,fcVjitaM3LY,0,28
13,[-0.30295517],[-0.28500951],[-0.12013361],310,qeWvgZLz9yU,0,26
13,[-0.31550368],[-0.3237936],[-0.12660982],3302,iIxy3JN3-jc,0,25
13,[-0.31240334],[-0.3213513],[-0.11965134],3954,n30k5CwLhS4,0,1
13,[-0.30597775],[-0.30684604],[-0.11079823],2597,U0hAC8O7RoI,0,2
13,[-0.31576646],[-0.32395525],[-0.12547304],450,CBVGjS_EJok,1,24
13,[2.00131179],[3.1158003],[1.36787758],1675,n1WpP7iowLc,0,10
13,[-0.31013205],[-0.30795578],[-0.12495632],6044,hz7ukDjuq4w,0,24
13,[-0.30019334],[-0.31721817],[-0.12543859],3939,p2hJxyF7mok,0,19
13,[-0.30589822],[-0.3136137],[-0.12151153],3678,0mlNzVSJrT0,0,22
13,[-0.28020774],[-0.29164174],[-0.10056721],5057,Om_zGhJLZ5U,0,1
13,[-0.31740062],[-0.31871676],[-0.12702319],2524,e_7zHm7GsYc,0,10
13,[-0.23733393],[-0.15671664],[-0.08007071],1059,dQvIbulWCM4,0,23
13,[-0.31155103],[-0.29421074],[-0.12230383],3963,zZ9FciUx6gs,0,10
13,[-0.31109972],[-0.30093034],[-0.12419846],5747,PaJCFHXcWmM,0,10
13,[-0.31457834],[-0.3231295],[-0.1269543],2783,goP4Z5wyOlM,0,25
13,[-0.31915501],[-0.32444459],[-0.1276777],1425,NZFhMSgbKKM,0,17
13,[-0.27487803],[-0.25812673],[0.40430111],3671,0tO_l_Ed5Rs,0,10
13,[-0.27586221],[-0.30502852],[-0.06680827],344,STI2fI7sKMo,0,22
13,[-0.12230319],[-0.17809004],[-0.07066644],6382,BWPrk9PUwQE,0,26
13,[-0.30983681],[-0.30954612],[-0.12671316],4199,ogYum4kWXgk,0,24
13,[-0.18996635],[-0.31566279],[-0.0443138],4934,sbcbvuitiTc,0,17
13,[-0.31866488],[-0.32432225],[-0.12722988],2228,zNqCVTs38nU,0,17
13,[-0.04265589],[-0.12609394],[-0.02994903],1581,DM-ni_LSOFE,0,24
13,[-0.07010955],[0.10843683],[-0.08172421],6209,0PpNlNJ6Nng,0,24
13,[-0.31840738],[-0.32357952],[-0.12764325],3356,c-3JxzN2u34,0,25
13,[-0.17797775],[-0.25720486],[-0.09898261],6203,069D0NmW39o,0,17
13,[0.97212193],[0.50600756],[0.38938518],2926,9t9u_yPEidY,0,10
13,[-0.29263129],[-0.29279954],[-0.12037475],617,KODzih-pYlU,0,22
13,[-0.11692682],[-0.25406351],[-0.11972024],2902,8NHA23f7LvU,0,24
13,[-0.29729249],[-0.29942302],[-0.12419846],2838,w0XYVssCKjw,0,17
13,[-0.31804776],[-0.32438342],[-0.12757436],3148,9XSULcLI6Hg,0,25
13,[-0.31830027],[-0.32408633],[-0.12757436],5679,pjuPpVLXDQg,0,2
13,[-0.27984597],[-0.28860961],[-0.11599987],1335,9xSx-5tmq44,0,24
13,[-0.27995362],[-0.27974917],[-0.11486309],5405,4v0nOAzcG2A,0,28
13,[-0.31856548],[-0.32424798],[-0.12740212],255,oTObwUiXdYY,0,25
13,[-0.20939461],[-0.20687337],[-0.05967756],14,1cgK-BIrXes,0,24
13,[0.03815857],[0.18143934],[-0.02261163],1959,ujyTQNNjjDU,0,10
13,[-0.30507431],[-0.32232123],[-0.12598976],5741,PABlVzeldaM,0,25
13,[-0.24655989],[-0.28851349],[-0.11362296],672,6340tX9M_eM,0,24
13,[0.05188587],[0.17982716],[-0.08961278],5947,8mhTWqWlQzU,0,22
13,[0.13487695],[0.2036385],[0.15734417],2027,t4YAyT4ihIQ,0,23
13,[-0.31864284],[-0.32358825],[-0.12764325],5894,MNiweoKXwfg,0,24
13,[0.65779212],[-0.08120192],[0.22513762],3002,Jw1Y-zhQURU,0,26
13,[4.21459811],[6.81509946],[0.59838054],1625,2Vv-BfVoq4g,0,10
13,[-0.31217018],[-0.31471908],[-0.12140819],5641,UFYCTJlayS4,0,1
13,[-0.30902832],[-0.31146413],[-0.1227861],4383,cccyOn99s4Y,0,24
13,[-0.31337061],[-0.31770314],[-0.12409512],3056,abGCYPCk294,0,24
13,[-0.27817448],[-0.24319768],[-0.10769792],1914,lY_0mkYDZDU,0,10
13,[-0.2870077],[-0.31386274],[0.05751417],4505,k8NxqyGcZA4,0,24
13,[-0.28718838],[-0.31619145],[-0.1253008],3675,IE-xepGLVt8,0,28
13,[-0.14584369],[-0.15989731],[-0.06818619],2898,ObIQ0s02UHg,0,10
13,[-0.11675181],[-0.25673737],[-0.11568984],2899,cOc3tsFWoRs,0,24
13,[-0.29923609],[-0.32292416],[-0.12623089],2511,AJYb0Yom5UQ,0,23
13,[-0.25379952],[-0.22269371],[-0.08706364],318,gLswXiRLdkA,0,26
13,[-0.27862606],[-0.28894166],[-0.03508177],1605,MyEqfBkzESU,0,26
13,[-0.3067696],[-0.31432586],[-0.12647203],2749,wJYE0sFOteE,0,26
13,[-0.31826524],[-0.32418244],[-0.12719543],4829,L_5_slz4ke4,0,25
13,[-0.30522728],[-0.30887328],[-0.11827343],2668,OKoL852K9uA,0,26
13,[-0.29524895],[-0.29707684],[-0.12481853],3605,pa_oUisZZy0,0,22
13,[-0.08246128],[-0.25269163],[-0.09529668],1998,fNtLIcyjsnI,0,1
13,[-0.31296068],[-0.32255716],[-0.12557638],3371,_Iz83-Cmt6A,0,10
13,[-0.21837808],[-0.17226173],[-0.10935142],409,YlvCVbfS9M0,0,10
13,[-0.20610628],[0.03518529],[-0.08379109],1747,arJ5h2TY3I4,0,24
13,[-0.31016342],[-0.32256153],[-0.12705764],137,-2RVw2_QyxQ,0,27
13,[-0.01668654],[-0.00731249],[-0.0648103],5122,gEHCXl4J9Qo,0,24
13,[-0.31313528],[-0.31450499],[-0.12664427],493,-OK9i1_YYYc,0,15
13,[-0.04018349],[0.10720476],[0.27457035],2405,b4vTZx_AtHk,0,26
13,[0.0508449],[-0.06684521],[-0.0075579],1710,kOnQocd799Y,0,1
13,[-0.2968731],[-0.28690568],[-0.11541425],3203,e4FApt6z55c,0,10
13,[-0.20614496],[-0.14886108],[-0.11500088],966,2XK4omx9uMU,0,10
13,[-0.28078334],[-0.25284018],[-0.12505966],1638,xfmipNU4Odc,0,15
13,[0.13671641],[0.56102705],[-0.01093379],6066,jp9hK-jY6yY,0,23
13,[-0.29281752],[-0.26183169],[-0.12195935],3924,RkHuWjiR-LM,0,10
13,[-0.17066319],[-0.13278296],[-0.08217204],2691,fCTKDn3Q8xQ,0,22
13,[-0.19844712],[-0.22693169],[-0.09915485],4632,DIU3xPdhCBI,0,10
13,[-0.28881415],[-0.31691234],[-0.1212015],3607,wnwF1FHybDQ,0,23
13,[-0.28347106],[-0.31013157],[-0.09846589],2138,9oFP-pOMNwE,1,24
13,[0.42141499],[0.92624494],[0.01280081],958,pz95u3UVpaM,0,10
13,[0.16468941],[1.01872469],[-0.03921551],1766,g5c1bk8weaQ,0,23
13,[-0.27804329],[-0.31003545],[-0.12337172],4103,yuBqWcSKrCk,0,24
13,[-0.28583432],[-0.28018171],[-0.12257941],4983,x9mh-SwSKas,0,26
13,[-0.27919179],[-0.30993933],[-0.12295834],5037,uiA4B5Y63IQ,0,1
13,[-0.30224717],[-0.30242019],[-0.12306168],3437,viyRD5z6ilQ,0,10
13,[-0.26256931],[-0.09041626],[-0.1220627],3951,QFfEtKvXMAs,0,10
13,[-0.30048547],[-0.28952711],[-0.12495632],1681,xg9ebVTL9yE,0,10
13,[-0.07935688],[0.0618234],[-0.09333315],3904,fbHbTBP_u7U,0,10
13,[-0.10620194],[-0.09366246],[-0.07535135],2085,Ja_GMU7-sjs,0,28
13,[-0.2345268],[-0.2147464],[-0.11066044],670,QOksZ8VogRw,0,10
13,[-0.28966024],[-0.2619846],[-0.11413968],4556,RYs08kX3Ih4,0,26
13,[-0.25251781],[-0.29086405],[-0.12161487],5739,tOFkFZbPdnQ,0,10
13,[-0.1816307],[-0.21471582],[-0.10621666],3730,dW4wpGg64pE,0,24
13,[-0.30035469],[-0.30517706],[-0.12037475],2603,2VP846QcA_4,0,24
13,[-0.27032314],[-0.30042353],[-0.04669071],4541,_dhneCO4YEE,0,22
13,[-0.27946863],[-0.25786022],[-0.1145875],5429,EYkEshCOhEU,0,22
13,[-0.20504826],[-0.27372425],[-0.11706775],4676,Rq9-mW6HgQE,0,24
13,[-0.14131841],[-0.28379055],[-0.10773237],3681,k29YnfttqEU,0,23
13,[-0.29385647],[-0.28475611],[-0.12319948],1217,Eg_kW5fw6qU,0,22
13,[-0.0995417],[0.04438651],[-0.08892382],4776,J_QGZspO4gg,0,10
13,[-0.30224608],[-0.32039011],[-0.11038486],5153,PkRBTF6nt4E,0,25
13,[-0.29144019],[-0.27555051],[-0.12371619],185,ozkqm2ifMw8,0,10
13,[-0.3059718],[-0.31169132],[-0.12419846],4630,htvR_dBs3eg,0,10
13,[-0.26165817],[-0.24005196],[-0.11941021],764,qEEtzzi1EII,0,15
13,[-0.31477715],[-0.31851141],[-0.12702319],487,1Wk8ZRgXQnY,0,10
13,[-0.15272695],[-0.18183432],[0.0864504],4422,8l_e6bx8UG8,0,10
13,[-0.29833725],[-0.29090774],[-0.12220049],3243,lsfzA7sWlOM,0,20
13,[-0.30946056],[-0.30851939],[-0.12371619],1706,RQDphL2MVlM,0,26
13,[-0.26975904],[-0.30540862],[0.02537429],4270,X7flefV8tec,0,24
13,[-0.28350919],[-0.27319996],[-0.10952366],4226,cYw-oyJ7AEY,0,10
13,[-0.29323353],[-0.31859879],[-0.12702319],288,6nJw-jPQYVI,0,24
13,[-0.30630693],[-0.31855947],[-0.12161487],422,5x1FAiIq_pQ,0,10
13,[-0.29838837],[-0.31502491],[-0.1227861],1641,LMCuKltaY3M,0,10
13,[-0.31207145],[-0.32253968],[-0.12333727],3465,6Detw08jRhs,0,22
13,[-0.30642311],[-0.3205037],[-0.12605865],3383,vd4zwINEcLY,0,24
13,[-0.30687063],[-0.30436005],[-0.12626534],4781,7fm7mll2qvg,0,10
13,[-0.21585929],[-0.16821598],[-0.11121161],3873,5gFpcEKayz4,0,10
13,[-0.30097925],[-0.29320149],[-0.12478408],5387,eHIY3HNNqzM,0,10
13,[-0.3087838],[-0.31577639],[-0.12499077],5563,q-WipZ9p0wk,0,26
13,[-0.26805901],[-0.29982497],[-0.12282055],1363,zy0b9e40tK8,0,24
13,[-0.29876503],[-0.28423619],[-0.12540414],6098,rL4WkebTT_U,0,24
13,[-0.29549982],[-0.2549679],[-0.12096036],1553,Y6eKxjMA9ek,0,24
13,[-0.31858644],[-0.32341786],[-0.12784994],2722,Q6Usd3_fbq8,0,10
13,[-0.06157644],[-0.03675554],[-0.04372819],5515,44NYFvhXmW8,0,10
13,[0.98348259],[3.21836819],[0.42810461],2201,9wg3v-01yKQ,0,10
13,[-0.25485389],[-0.2541072],[-0.09512444],2584,F-j_6IuaYfw,0,24
13,[-0.2172331],[-0.27211207],[-0.0811386],3138,_qSW96a2aKY,0,24
13,[-0.2161433],[-0.23639943],[-0.11627545],3614,afgvlR9WmIQ,0,10
13,[-0.29231117],[-0.28002006],[-0.12557638],2204,_CJN_ryETIY,0,24
13,[-0.22579799],[-0.18513733],[-0.12106371],2585,P4YJwy_T9pM,0,22
